"host","latitude","longitude"
"LOJA_ANA_SDWAN_SEAL","-23.561308631614","-46.559561067798"
"LOJA_ARI_SDWAN_SEAL","-23.565845167918","-46.503298986836"
"LOJA_BAT_SDWAN_SEAL","-25.442764776591","-49.28979406405"
"LOJA_BEL_SDWAN_SEAL","-19.974377312595","-43.943342232944"
"LOJA_BOB_SDWAN_SEAL","-23.526014960286","-46.680788404026"
"LOJA_CGD_SDWAN_SEAL","-20.458757447469","-54.587229542732"
"LOJA_CAM_SDWAN_SEAL","-22.892464871054","-47.026505856169"
"LOJA_BRG_SDWAN_SEAL","-25.435494244395","-49.317365594178"
"LOJA_BUB_SDWAN_SEAL","-1.4455851172277","-48.488787482881"
"LOJA_BOT_SDWAN_SEAL","-22.947336041958","-43.181907183155"
"LOJA_BRV_SDWAN_SEAL","-17.818471813001","-50.943274415799"
"LOJA_CAX_SDWAN_SEAL","-29.175810052098","-51.219826403868"
"LOJA_CFO_SDWAN_SEAL","-8.0369170166770","-34.912479419632"
"LOJA_CID_SDWAN_SEAL","-23.598740562911","-46.696905825699"
"LOJA_CIP_SDWAN_SEAL","-23.563384299394","-46.652097117519"
"LOJA_APO_SDWAN_SEAL","-16.324060450576","-48.948612180888"
"LOJA_BUT_SDWAN_SEAL","-23.584268942492","-46.724279566180"
"LOJA_ACJ_SDWAN_SEAL","-10.943088315602","-37.059147087071"
"LOJA_ACR_SDWAN_SEAL","-9.9858766653175","-67.84721031166"
"LOJA_CCV_SDWAN_SEAL","-24.950400227044","-53.476470977001"
"LOJA_BSB_SDWAN_SEAL","-15.733552301506","-47.898881780899"
"LOJA_ASR_SDWAN_SEAL","-23.011297102699","-43.460561229179"
"LOJA_CNT_SDWAN_SEAL","-23.515775322803","-46.616916069647"
"LOJA_BRI_SDWAN_SEAL","-15.720748062319","-47.885106712142"
"LOJA_ARA_SDWAN_SEAL","-10.944468746929","-37.046802727553"
"LOJA_CBU_SDWAN_SEAL","-26.992210374265","-48.646355322970"
"LOJA_CGS_SDWAN_SEAL","-7.2346868980873","-35.869145621487"
"LOJA_BEM_SDWAN_SEAL","-1.4576500166215","-48.493859869946"
"LOJA_CAR_SDWAN_SEAL","-8.2945458098516","-35.951259107984"
"LOJA_AMG_SDWAN_SEAL","-0.0085365539624","-51.079956142960"
"LOJA_CAD_SDWAN_SEAL","-10.182758671824","-48.347547033105"
"LOJA_BAR_SDWAN_YSSY","-22.997441004446","-43.357633277051"
"LOJA_BLU_SDWAN_YSSY","-26.919695418675","-49.068653609478"
"LOJA_ARP_SDWAN_SEAL","-9.7335673001638","-36.654510848451"
"LOJA_BAU_SDWAN_YSSY","-22.316285874503","-49.065589115702"
"LOJA_BTI_SDWAN_YSSY","-16.596849534242","-48.562663543263"
"LOJA_AME_SDWAN_YSSY","-22.877636536491","-43.270070597210"
"LOJA_BOU_SDWAN_YSSY","-16.695340052768","-49.264998650199"
"LOJA_BSG_SDWAN_SEAL","-22.811157574988","-45.197859640270"
"LOJA_BAS_UPLINK_YSSY","-30.084493288114","-51.245173215486"
"LOJA_BRA_SDWAN_YSSY","-15.791167421660","-47.882770307885"
"LOJA_BOS_SDWAN_YSSY","-20.397423978484","-54.558448548277"
"LOJA_CAT_SDWAN_YSSY","-25.532523418436","-54.574287743166"
"LOJA_BBH_SDWAN_YSSY","-19.920540665109","-43.919591590616"
"LOJA_CBH_SDWAN_YSSY","-19.921767597939","-43.939731804254"
"LOJA_CLI_SDWAN_SEAL","-23.650340768909","-46.756774836554"
"LOJA_CAF_SDWAN_YSSY","-25.568585267615","-54.557271967746"
"LOJA_CHA_SDWAN_YSSY","-27.069834259840","-52.625319296539"
"LOJA_ARO_SDWAN_SEAL","-23.328800592874","-51.176998825475"
"LOJA_MOR_SDWAN_SEAL","-23.623155353778","-46.698277304024"
"LOJA_GRA_SDWAN_SEAL","-23.591881672453","-46.831372068357"
"LOJA_HIG_SDWAN_SEAL","-23.542237133981","-46.657224775190"
"LOJA_IGA_SDWAN_SEAL","-23.504494808297","-46.847900863545"
"LOJA_IRI_SDWAN_SEAL","-21.225731064470","-47.833673354361"
"LOJA_ISO_SDWAN_SEAL","-23.533484122205","-47.462821131013"
"LOJA_JKI_SDWAN_SEAL","-23.591280832185","-46.688477999040"
"LOJA_JOC_SDWAN_SEAL","-25.427558866303","-49.213951519877"
"LOJA_JOG_SDWAN_SEAL","-26.253691257390","-48.852555332789"
"LOJA_JOI_SDWAN_SEAL","-26.303439761428","-48.847897015598"
"LOJA_IBI_SDWAN_SEAL","-23.610079625394","-46.665688637114"
"LOJA_FOR_SDWAN_SEAL","-3.7558653977609","-38.489023038697"
"LOJA_FLO_SDWAN_SEAL","-27.584747537511","-48.544444817409"
"LOJA_ELD_SDWAN_SEAL","-23.572360240293","-46.695503448202"
"LOJA_DOM_SDWAN_SEAL","-22.847358650806","-47.062471502195"
"LOJA_JSU_SDWAN_SEAL","-23.630297769568","-46.734897210126"
"LOJA_LEB_SDWAN_SEAL","-22.982312343468","-43.216181829179"
"LOJA_CUR_SDWAN_SEAL","-25.423330009433","-49.269989869038"
"LOJA_MOG_SDWAN_SEAL","-23.515653187261","-46.179374123063"
"LOJA_GUM_SDWAN_SEAL","-23.443415001269","-46.538552354308"
"LOJA_ITG_SDWAN_SEAL","-27.585105247189","-48.613673134599"
"LOJA_JUA_SDWAN_SEAL","-7.2231861248240","-39.323835842931"
"LOJA_MCE_SDWAN_SEAL","-22.392688904041","-41.806374053774"
"LOJA_CON_SDWAN_SEAL","-27.614812496526","-48.645568611865"
"LOJA_FRA_SDWAN_SEAL","-20.547378855281","-47.416745953817"
"LOJA_GTT_SDWAN_SEAL","-23.424326809545","-46.475621588127"
"LOJA_JAS_SDWAN_SEAL","-26.479551937225","-49.084188337038"
"LOJA_ITQ_SDWAN_SEAL","-23.540424375359","-46.469870727318"
"LOJA_MRB_SDWAN_SEAL","-5.3568919469545","-49.086094209854"
"LOJA_EBH_SDWAN_SEAL","-19.820472516549","-43.945241777684"
"LOJA_IMP_SDWAN_SEAL","-5.5288432371021","-47.46957788342"
"LOJA_MOI_SDWAN_SEAL","-30.023118711004","-51.200628476854"
"LOJA_CPO_SDWAN_SEAL","-21.754291938425","-41.348246215715"
"LOJA_IPO_SDWAN_SEAL","-19.946734858913","-44.022155496159"
"LOJA_CTB_SDWAN_SEAL","-25.440776231656","-49.276866348153"
"LOJA_FLS_SDWAN_SEAL","-27.553739725651","-48.497981532752"
"LOJA_JAC_SDWAN_SEAL","-22.955810362618","-43.335179132014"
"LOJA_DIA_SDWAN_SEAL","-19.927753112352","-43.946932031536"
"LOJA_MOS_SDWAN_SEAL","-5.1716495064837","-37.375607296920"
"LOJA_LON_SDWAN_SEAL","-23.342468470456","-51.185354555598"
"LOJA_JOP_SDWAN_SEAL","-7.0986669075997","-34.844513563817"
"LOJA_GES_SDWAN_SEAL","-8.1681128719941","-34.918652004289"
"LOJA_INT_SDWAN_SEAL","-23.674536238371","-46.676997202174"
"LOJA_DEO_SDWAN_SEAL","-3.7360409936576","-38.496416681026"
"LOJA_DFP_SDWAN_SEAL","-15.831542334975","-48.040959165556"
"LOJA_MAN_SDWAN_SEAL","-3.0939541725448","-60.022040144802"
"LOJA_MAR_SDWAN_SEAL","-3.1035746741907","-60.012932388979"
"LOJA_CRC_SDWAN_SEAL","-22.849810488982","-43.310374873360"
"LOJA_ITU_SDWAN_SEAL","-23.263822104913","-47.279972186843"
"LOJA_ESP_SDWAN_SEAL","-20.341934685272","-40.288428932936"
"LOJA_HTO_SDWAN_SEAL","-23.565668201786","-46.649567387395"
"LOJA_GUA_SDWAN_SEAL","-23.488050759841","-46.548721634710"
"LOJA_MKP_SDWAN_SEAL","-23.621381340646","-46.699030498480"
"LOJA_GAL_SDWAN_SEAL","-22.863268289188","-47.022980538421"
"LOJA_GOL_SDWAN_SEAL","-23.683374000129","-46.556754317516"
"LOJA_ITJ_SDWAN_SEAL","-26.904045195050","-48.659599909478"
"LOJA_MUJ_SDWAN_SEAL","-23.198989291349","-46.889999994236"
"LOJA_GAV_SDWAN_SEAL","-22.975325590779","-43.227878092394"
"LOJA_FCS_SDWAN_SEAL","-23.553890619558","-46.652138861696"
"LOJA_NAT_SDWAN_YSSY","-5.8111159149773","-35.20580577916"
"LOJA_IGU_SDWAN_YSSY","-23.576838080893","-46.687847880733"
"LOJA_ILP_SDWAN_YSSY","-22.801807023600","-43.201273534727"
"LOJA_GEM_SDWAN_YSSY","-19.880334082066","-44.03781300780"
"LOJA_MET_SDWAN_YSSY","-23.692708984254","-46.549906292376"
"LOJA_FDS_SDWAN_YSSY","-12.241327963533","-38.947938973561"
"LOJA_MGP_SDWAN_YSSY","-23.422174238489","-51.932549280736"
"LOJA_GAR_SDWAN_YSSY","-19.955204648114","-44.160086790447"
"LOJA_COL_SDWAN_YSSY","-23.203618981431","-45.908184504034"
"LOJA_MIS_SDWAN_YSSY","-19.872949681863","-43.924594866316"
"LOJA_MAB_SDWAN_YSSY","-7.1625013710568","-34.83022145032"
"LOJA_MAL_SDWAN_YSSY","-20.240032286091","-40.274437178963"
"LOJA_IND_SDWAN_YSSY","-21.780767947815","-43.359256875792"
"LOJA_ETC_SDWAN_YSSY","-15.589986170997","-56.120113346523"
"LOJA_DER_SDWAN_YSSY","-19.890424427050","-43.967926857526"
"LOJA_MAC_SDWAN_YSSY","-9.6485498032383","-35.714972260098"
"LOJA_NCG_SDWAN_YSSY","-20.479757123056","-54.625823852530"
"LOJA_LAU_SDWAN_YSSY","-12.887448457392","-38.318068806083"
"LOJA_NAS_SDWAN_YSSY","-5.8419546705505","-35.210973429447"
"LOJA_JUN_SDWAN_YSSY","-23.169237583772","-46.891407334938"
"LOJA_MAG_SDWAN_YSSY","-23.420179225217","-51.969653773345"
"LOJA_GOS_SDWAN_SEAL","-16.708186270062","-49.271993612124"
"LOJA_GOI_SDWAN_YSSY","-16.710045368584","-49.236546363692"
"LOJA_CPS_SDWAN_YSSY","-22.931758208112","-47.075871210143"
"LOJA_ITA_SDWAN_YSSY","-14.797280279403","-39.272836688865"
"LOJA_FIG_SDWAN_YSSY","-27.589886065047","-48.513959419816"
"LOJA_MOP_SDWAN_YSSY","-22.971148618250","-43.371796159863"
"LOJA_JUF_SDWAN_YSSY","-21.740444691645","-43.369916927361"
"LOJA_ISC_SDWAN_SEAL","-22.017296305862","-47.913812002774"
"LOJA_MIR_SDWAN_YSSY","-23.965824420401","-46.334104277027"
"LOJA_GOP_SDWAN_YSSY","-1.3901306161396","-48.464697265692"
"LOJA_LOD_SDWAN_YSSY","-23.311822437259","-51.146696405879"
"LOJA_CUI_SDWAN_YSSY","-15.587700329381","-56.111624063712"
"LOJA_JAR_SDWAN_SEAL","-21.784219464163","-48.201521177640"
"LOJA_MOC_SDWAN_YSSY","-23.579723517472","-46.594121804025"
"LOJA_MTW_SDWAN_SEAL","-23.631125116526","-46.737030367237"
"LOJA_MRL_SDWAN_YSSY","-22.186111300356","-49.966384248236"
"LOJA_RIM_SDWAN_SEAL","-8.0858946593765","-34.894244348467"
"LOJA_SCT_SDWAN_SEAL","-23.625917835418","-46.579991136554"
"LOJA_PSA_SDWAN_SEAL","-23.570594105855","-46.642437098481"
"LOJA_UBE_SDWAN_SEAL","-18.910459587184","-48.259965642765"
"LOJA_VIL_SDWAN_SEAL","-23.550761680633","-46.721020752457"
"LOJA_RIP_SDWAN_SEAL","-21.212609154020","-47.815138440867"
"LOJA_SIL_SDWAN_SEAL","-2.5271670742451","-44.254703888981"
"LOJA_SAT_SDWAN_SEAL","-23.482631434747","-46.643885462485"
"LOJA_SAV_SDWAN_SEAL","-19.940301740291","-43.933212573426"
"LOJA_SUN_SDWAN_SEAL","-22.957124134968","-43.176513990546"
"LOJA_TAM_SDWAN_SEAL","-23.504220537505","-46.833921450051"
"LOJA_NCR_SDWAN_SEAL","-28.685032870011","-49.332824322920"
"LOJA_ORJ_SDWAN_SEAL","-22.676274885789","-43.287893488705"
"LOJA_PHN_SDWAN_SEAL","-23.524979702627","-46.546458607722"
"LOJA_TBO_SDWAN_SEAL","-23.616452256186","-46.775072748201"
"LOJA_TAB_SDWAN_SEAL","-23.024165411613","-45.581240675203"
"LOJA_UNI_SDWAN_SEAL","-23.541152381249","-46.765984102178"
"LOJA_OIT_SDWAN_SEAL","-23.433030283091","-46.271988319370"
"LOJA_XAN_SDWAN_SEAL","-23.561259459587","-46.559936577037"
"LOJA_XBH_SDWAN_SEAL","-19.974478147042","-43.943234944590"
"LOJA_SPA_SDWAN_SEAL","-12.936018182711","-38.393936510337"
"LOJA_RIG_SDWAN_SEAL","-32.113928578130","-52.174814134457"
"LOJA_PPB_SDWAN_SEAL","-6.0917606843837","-49.855121514104"
"LOJA_VCS_SDWAN_SEAL","-21.571404828977","-45.448679285036"
"LOJA_VDA_SDWAN_SEAL","-19.496419867563","-42.564564081386"
"LOJA_SVC_SDWAN_SEAL","-14.877095455370","-40.817254929345"
"LOJA_VAL_SDWAN_SEAL","-16.078940711138","-47.984520209728"
"LOJA_XBU_SDWAN_SEAL","-1.4455314901209","-48.488261769946"
"LOJA_PNA_SDWAN_SEAL","-21.212119665080","-50.469324546411"
"LOJA_XAB_SDWAN_SEAL","-23.667653703166","-46.533115353743"
"LOJA_SIN_SDWAN_SEAL","-11.861498994035","-55.487136766175"
"LOJA_XBR_SDWAN_SEAL","-15.720861664894","-47.885042339129"
"LOJA_PPP_SDWAN_SEAL","-22.115681730045","-51.407203865427"
"LOJA_OFR_SDWAN_SEAL","-23.560337123882","-46.671457636556"
"LOJA_PAS_SDWAN_SEAL","-15.833220014570","-47.954268188848"
"LOJA_VIT_SDWAN_SEAL","-20.312184994613","-40.28713765253"
"LOJA_STA_SDWAN_SEAL","-23.598935126116","-46.636150784987"
"LOJA_XBG_SDWAN_SEAL","-25.435416733304","-49.317483611367"
"LOJA_XBA_SDWAN_SEAL","-22.997431128313","-43.357762023076"
"LOJA_XCA_SDWAN_SEAL","-22.892504406232","-47.026634602194"
"LOJA_SOC_SDWAN_SEAL","-23.529757773099","-47.450530665110"
"LOJA_OBR_SDWAN_SEAL","-16.120843259394","-48.398174594386"
"LOJA_SSO_SDWAN_SEAL","-23.535252224583","-46.771810871495"
"LOJA_NOS_SDWAN_SEAL","-22.750030407416","-42.62939999503"
"LOJA_RIS_SDWAN_SEAL","-9.3937529162925","-40.492290487088"
"LOJA_SAB_SDWAN_SEAL","-13.005656029478","-38.523207242867"
"LOJA_PFO_SDWAN_SEAL","-28.270959287038","-52.384535092809"
"LOJA_PEL_SDWAN_SEAL","-31.760636329460","-52.317400177357"
"LOJA_OSC_SDWAN_SEAL","-27.255162810106","-48.629551467139"
"LOJA_XBL_SDWAN_SEAL","-26.919695418675","-49.068138625379"
"LOJA_XBS_SDWAN_SEAL","-30.084586123305","-51.245033740625"
"LOJA_SJC_SDWAN_SEAL","-23.199544676023","-45.880916834717"
"LOJA_POC_SDWAN_SEAL","-21.777032311141","-46.599118342608"
"LOJA_POL_SDWAN_SEAL","-23.116096595803","-47.218948090542"
"LOJA_VLM_SDWAN_SEAL","-22.999143059171","-43.351173394241"
"LOJA_STM_SDWAN_SEAL","-29.316026214120","-52.453113649160"
"LOJA_PIR_SDWAN_SEAL","-22.703810129853","-47.649102542680"
"LOJA_OSV_SDWAN_SEAL","-12.824795557920","-38.266275201100"
"LOJA_PKL_SDWAN_SEAL","-22.873800302034","-42.035757519384"
"LOJA_STU_SDWAN_SEAL","-21.182328229275","-47.806890614440"
"LOJA_PON_SDWAN_SEAL","-3.0845162373895","-60.071686842954"
"LOJA_NOV_SDWAN_SEAL","-21.207015548719","-47.767423490588"
"LOJA_XBB_SDWAN_SEAL","-22.316295799769","-49.065792963574"
"LOJA_XCF_SDWAN_SEAL","-8.0369063932176","-34.912211198747"
"LOJA_XBC_SDWAN_SEAL","-26.992210374265","-48.645733050517"
"LOJA_XCD_SDWAN_SEAL","-10.182695312752","-48.347579219611"
"LOJA_OCC_SDWAN_SEAL","-25.444510455268","-49.567786502128"
"LOJA_PTO_SDWAN_SEAL","-7.9933291476966","-34.839536085254"
"LOJA_XAR_SDWAN_SEAL","-23.565795997589","-46.503084410128"
"LOJA_XBP_SDWAN_SEAL","-23.526005123242","-46.680756217520"
"LOJA_TLG_SDWAN_SEAL","-20.757719632958","-51.694309181359"
"LOJA_RID_SDWAN_SEAL","-23.001251213934","-43.38561933657"
"LOJA_PCG_SDWAN_SEAL","-22.927877961103","-43.573343785003"
"LOJA_RON_SDWAN_SEAL","-16.472194691407","-54.607355252610"
"LOJA_RPT_SDWAN_SEAL","-20.866192801044","-49.413972104089"
"LOJA_TIV_SDWAN_SEAL","-22.749376089922","-47.367084629185"
"LOJA_SNO_SDWAN_SEAL","-12.908263452647","-38.350496454515"
"LOJA_OSA_SDWAN_SEAL","-23.547400070068","-46.756645219367"
"LOJA_SAS_SDWAN_SEAL","-12.977531565355","-38.454789709777"
